id,r_count,type,s_mean,s_rate_mean,s_rate_variance,long_s_rate,s_delta,score_log
S229,240,A,1478.6958333333334,0.9944260545209256,0.004677881429222884,0.986112230295789,-20.825,8.98414733935683
S361,240,C,1367.0,0.992053674419155,0.0053550530895142496,0.9838897352542495,-22.383333333333333,8.902893574172689
S140,220,B,1258.5291666666667,1.1998252717695386,0.1598159891470897,0.6278219009235029,-813.8909090909091,8.860378457343998
S108,240,B,1003.9583333333334,0.9840828685346856,0.016975642584553915,0.887656799720017,-127.0625,8.58041179983759
S151,240,C,810.4083333333333,0.9833282061396259,0.01997950489718512,0.7297962552999887,-300.05,8.363973637723955
S139,224,B,632.7583333333333,1.2439905870286163,0.0971567107788854,0.8543668564484551,-115.5625,8.26843552049627
S282,240,A,705.5833333333334,1.0133085510678943,0.0043539099951544,1.0048003038016744,3.370833333333333,8.263301287473425
S340,240,B,714.275,0.9992937072409378,0.0018813944067156412,0.9966627906976744,-2.3916666666666666,8.26276779011266
S275,240,A,660.6375,1.0033928880277727,0.0003054635862274823,1.0025482137211508,1.6791666666666667,8.189592603051285
S329,240,A,652.1583333333333,1.001919699889979,0.0005352065686680384,1.0010745123121203,0.7,8.175086616334406
S131,240,B,572.9666666666667,0.9973954980567357,0.009948533148478173,0.9865907117899857,-7.7875,8.036383540864161
S330,240,B,569.3833333333333,0.9855901346256867,0.01895679782663282,0.7899872817666782,-151.36666666666667,8.013767614207836
S308,240,B,570.825,0.9745200123949475,0.028058481621169706,0.7354491673734955,-205.33333333333334,8.0006212949627
S356,240,C,542.9458333333333,1.0026136414974602,0.005938696668471026,0.9826184659005218,-9.604166666666666,7.989796616969526
S268,240,C,540.775,1.0035112298404212,0.0005375358996923682,1.0032155832109453,1.7333333333333334,7.989392902175507
S306,240,C,525.4,1.0045974070563564,0.0005656737433172492,1.0033099936346277,1.7333333333333334,7.961621587990191
S194,240,C,422.3541666666667,1.0019603398042958,0.001940539973843445,0.9998520418228447,-0.0625,7.7399809989209984
S352,240,A,370.9625,1.0015341678818328,0.004821630752575286,0.9969876819708846,-1.1208333333333333,7.608368601702639
S143,240,A,344.9458333333333,1.0036677313469538,0.038645873301759726,0.8754044623030559,-49.09583333333333,7.5206902468833725
S348,199,A,385.0875,1.0701331519246136,0.09406998929334152,0.5530581835807766,-375.31658291457285,7.481239718546761
S307,172,A,325.81666666666666,1.2442482038222293,0.16772567802642258,0.766755243520979,-138.29651162790697,7.30299660239242
S374,240,C,205.1,1.3121585590576594,0.11227631238036412,1.0125686544751404,2.5458333333333334,7.2710279292524405
S247,240,C,236.24166666666667,1.0139391140666183,0.0008811002902752376,1.0124642857142858,2.908333333333333,7.171500939793826
S284,240,C,194.15416666666667,1.0381543002677247,0.0020275490470395507,1.0237723827309677,4.508333333333334,6.998939709104206
S365,240,C,173.4625,1.021696663290979,0.002081073706203457,1.0163818359375,2.7958333333333334,6.869764202960651
S031,240,B,171.69583333333333,1.019774281926725,0.0032474580555725647,1.0161019874734922,2.720833333333333,6.857020914258563
S037,161,C,211.19166666666666,1.1497463399073202,0.15707272717319185,0.7489398170722698,-105.53416149068323,6.714633092143279
S040,240,B,132.9375,1.018751142263288,0.012110986277190422,0.9859394313967862,-1.8958333333333333,6.595703513792441
S338,204,B,125.45416666666667,1.2643715625815073,0.11118599512399407,0.7887718746725348,-39.52450980392157,6.569742240565107
S364,240,B,119.84583333333333,1.0385185359069746,0.009610822740926391,0.9908026179813986,-1.1125,6.513054916581326
S367,240,B,109.72916666666667,1.030694448913158,0.022333462157927517,0.9527858176555717,-5.4375,6.41062729095736
S055,240,B,100.17083333333333,1.0398244743711809,0.040787471801814926,0.747659772974654,-33.80833333333333,6.319244157334204
S346,240,B,96.83333333333333,1.0162278755318386,0.017366818032998745,0.9405099150141643,-6.125,6.273645014224149
S395,84,A,316.0125,0.9180942088287881,0.11931890751837343,0.7193273644675443,-352.29761904761904,6.255687848564732
S080,240,C,80.15416666666667,1.0861340528469496,0.039919466539318486,1.0189088983050847,1.4875,6.143071477309804
S294,240,C,78.50833333333334,1.0420353685666186,0.006416243507328351,1.0335143437002907,2.5458333333333334,6.095174046584334
S126,100,C,198.08333333333334,0.9899704161637104,0.18437781649377846,0.35937559058094265,-847.45,5.999617706185912
S086,209,C,74.7875,1.1953101135221185,0.1784943234223592,0.5956197112991538,-58.30622009569378,5.971319654752931
S244,240,C,68.35833333333333,1.0710805265535868,0.04670359952399095,0.9650020587024293,-2.4791666666666665,5.965362410910212
S218,240,C,64.5125,1.0981413967976468,0.024589253355977093,1.0504070556309362,3.095833333333333,5.94577674998651
S114,231,A,45.545833333333334,1.1681514716961847,0.11553454726246942,0.7495714187752863,-15.80952380952381,5.582293605061964
S003,199,C,54.74166666666667,1.0598904964967228,0.11294770194505713,0.9200924434484208,-5.733668341708543,5.510197528912491
S201,49,A,341.62083333333334,0.5363411993355803,0.24893150163296981,0.23512829116229184,-5443.061224489796,5.341450193777267
S074,183,C,54.37916666666667,1.006205777506705,0.23157537592475017,0.399871315644341,-107.0327868852459,5.301123229198712
S007,240,A,28.95,1.2901730711418211,0.15263501666393564,1.0345443716497915,0.9666666666666667,5.269503565592258
S291,222,A,33.266666666666666,1.149152261566458,0.14530026318083075,0.5929006386454775,-24.693693693693692,5.193469430759741
S266,240,A,27.1625,1.2052430555555556,0.040751156201774684,1.159964412811388,3.745833333333333,5.179641557964088
S123,240,A,26.870833333333334,1.1377214405964404,0.06972116475454732,1.0554828150572833,1.4125,5.086427342966667
S210,139,C,65.39166666666667,0.8322131534307294,0.2394424211010436,0.4535444903621073,-136.0359712230216,5.03207355763502
S189,159,A,37.05,1.0169867588735515,0.08567950822488783,1.0224215246636772,1.2264150943396226,4.866883114575623
S273,99,A,39.516666666666666,0.9931205941571678,0.1342944596292801,0.8823967249720879,-12.767676767676768,4.4079633321780465
S078,107,A,35.6375,0.9907743379169646,0.1213801386293834,0.8437407517016869,-14.80373831775701,4.386900094229986
S292,118,A,38.166666666666664,0.799366395160125,0.22912677941994808,0.8280600253118785,-16.11864406779661,4.302847400501587
S005,114,A,28.8,1.0405510303536618,0.0946951302351661,1.0572040379320893,3.280701754385965,4.301127974944197
S208,126,A,36.4875,0.7284587682531642,0.2822127227452442,0.5881918323481999,-48.65873015873016,4.222108483947209
S154,104,A,31.808333333333334,0.8029479815381477,0.26268731539304285,0.7466744913928013,-24.903846153846153,3.978767752525429
S150,240,A,7.525,1.1769919630478454,0.12678057516405664,0.32908163265306123,-15.341666666666667,3.8228813418238436
S314,235,C,6.958333333333333,1.1824818586091461,0.13299300987405385,0.5422077922077922,-6.0,3.725705040074449
S129,203,C,6.354166666666667,1.1615645807394577,0.2830697164091837,0.6338320864505403,-4.3399014778325125,3.383780379613466
S023,160,C,6.795833333333333,0.9627649901936873,0.38285307376147987,0.21845700508974014,-36.46875,2.9542730013063365
S098,209,B,1.7208333333333334,1.3832270069112174,0.25254621115319514,1.2402402402402402,0.3827751196172249,2.3458907557786417
S076,201,C,1.5666666666666667,1.427860696517413,0.27713422935075865,1.3623188405797102,0.4975124378109453,2.243465951353114
S239,145,C,1.7916666666666667,1.350582922824302,0.1322701954265654,0.8206106870229007,-0.6482758620689655,2.05454771236053
S175,141,B,1.525,1.426950354609929,0.20536016380799088,1.3455882352941178,0.6666666666666666,1.9018700851521497
S324,136,B,1.7666666666666666,1.3271971288515405,0.2627370923093502,1.2507374631268438,0.625,1.8806184562760286
S088,153,B,1.7708333333333333,1.2401068575578378,0.3289060344566025,0.740418118466899,-0.9738562091503268,1.8748345823428683
S221,126,A,1.6333333333333333,1.3986111111111108,0.16883901014109348,1.3288135593220338,0.7698412698412699,1.8498271975505962
S263,152,C,1.7791666666666666,1.1848684210526317,0.3304798758723249,0.9046610169491526,-0.29605263157894735,1.8167913427573044
S202,133,B,1.6666666666666667,1.323586292571255,0.2333630467366728,0.3472222222222222,-5.654135338345864,1.8131998340579845
S392,138,B,1.7166666666666666,1.2488612836438924,0.2377972671950528,1.2189349112426036,0.5362318840579711,1.8024250507075248
S064,134,A,1.6541666666666666,1.3149549869699122,0.23928369165583285,0.03173714925253817,-90.38805970149254,1.8011739405521197
S092,130,B,1.6583333333333334,1.3122741147741146,0.18837292911521392,1.236024844720497,0.5846153846153846,1.7992080994990112
S138,159,B,1.7125,1.1396979789530213,0.3163143164428903,0.1530156366344006,-14.30817610062893,1.7869027986655435
S141,130,B,1.75,1.2906166056166057,0.2761026364457683,1.2280701754385965,0.6,1.78171555723365
S066,141,A,1.6166666666666667,1.280310424406169,0.2744123459533836,0.412327311370882,-3.921985815602837,1.77436546920497
S174,126,B,1.4416666666666667,1.4401455026455028,0.1593941807690154,1.3675889328063242,0.7380952380952381,1.7716831049829247
S113,132,C,1.6041666666666667,1.3106902356902357,0.23057242339679815,1.2379421221864952,0.5606060606060606,1.7561137371110638
S310,144,B,1.6916666666666667,1.240286044973545,0.36171230676796823,1.2265861027190332,0.5208333333333334,1.7488262643696122
S075,134,A,1.625,1.2803482587064676,0.26239987871587345,1.1854103343465046,0.4552238805970149,1.735561871654362
S216,148,B,1.7708333333333333,1.1451120763620763,0.352433783777745,1.1154855643044619,0.2972972972972973,1.7324348508941474
S169,123,B,1.4958333333333333,1.3960898180410375,0.19638507550110618,1.344569288389513,0.7479674796747967,1.7201116575869042
S245,163,C,1.6083333333333334,1.0930178206251826,0.30104457530531253,0.6701388888888888,-1.165644171779141,1.7113411503575229
S110,154,C,1.775,1.0949675324675323,0.3739127153960758,1.0047169811320755,0.012987012987012988,1.7112583247196371
S256,130,B,1.7125,1.1904761904761905,0.23409754200825628,1.0989304812834224,0.2846153846153846,1.68398787610012
S258,140,B,1.725,1.151001984126984,0.31332230102771924,0.672077922077922,-1.4428571428571428,1.6799932693801496
S172,137,B,1.4833333333333334,1.3054744525547446,0.2934959833294854,1.2233676975945018,0.4744525547445255,1.6735551056605098
S146,187,B,1.4666666666666666,1.0611959787093475,0.3920487880231103,0.44221105527638194,-2.374331550802139,1.6696187539641394
S360,151,B,1.6875,1.1047776726584673,0.3488909534838598,0.9353348729792148,-0.18543046357615894,1.6661139414209194
S025,135,C,1.5625,1.2206878306878306,0.22876698300719467,1.2135922330097086,0.4888888888888889,1.6632867122414468
S152,137,A,1.6583333333333334,1.1971553385786962,0.3336456869161711,1.1024930747922437,0.27007299270072993,1.6529486170597127
S237,121,A,1.3666666666666667,1.430578512396694,0.20482253033718098,1.2964426877470356,0.6198347107438017,1.643208705639567
S157,132,A,1.6458333333333333,1.2175468723782679,0.3097198129894155,0.011867563994712175,-249.1590909090909,1.6428510195054529
S197,125,B,1.475,1.3274533333333334,0.27708189226666663,0.6030664395229983,-1.864,1.6078055646179559
S115,141,A,1.6583333333333334,1.1310452549814252,0.3696410582687322,0.5031605562579013,-2.7872340425531914,1.5937795041872178
S376,138,B,1.4916666666666667,1.232638888888889,0.371685432601986,0.4779706275033378,-2.8333333333333335,1.5666931858954118
S186,132,C,1.5708333333333333,1.1842177163648453,0.3105745347636986,0.14595431668602402,-16.71212121212121,1.5623754894516115
S213,166,C,1.025,1.32429718875502,0.25075502814470735,1.3155080213903743,0.35542168674698793,1.5395229165422237
S054,129,B,1.7208333333333334,1.096280915466962,0.34219541824568567,0.826,-0.6744186046511628,1.5237572520329232
S067,169,C,0.9708333333333333,1.2810650887573964,0.19598597932689876,1.2802197802197801,0.30177514792899407,1.4907386041641593
S191,133,B,1.4625,1.1709258861439311,0.35981493874698767,0.07506415739948674,-32.5187969924812,1.4555924688449162
S318,107,A,1.4416666666666667,1.1711059190031152,0.2723381590823071,1.157190635451505,0.4392523364485981,1.2758646391567023
S269,155,A,0.8791666666666667,1.1981182795698924,0.3622442189848537,0.25178997613365156,-4.04516129032258,1.125450561756862
S046,159,A,0.8208333333333333,0.9570230607966458,0.3185582936680598,0.8873873873873874,-0.15723270440251572,0.8675047290094597
S260,145,B,0.7666666666666667,1.0511666666666668,0.3636789501915709,0.3177892918825561,-2.7241379310344827,0.7740087796543079
S149,81,C,1.0458333333333334,1.2651528512639623,0.32927794617821726,1.224390243902439,0.5679012345679012,0.7370329989269008
S253,72,C,0.9291666666666667,1.318854717813051,0.254122841750369,1.252808988764045,0.625,0.5986718604476788
S002,95,A,1.1375,0.9197493734335839,0.4285173497653908,0.883495145631068,-0.37894736842105264,0.5738397504716788
S039,63,C,1.6041666666666667,0.8825198412698412,0.4528633401045603,0.4074074074074074,-8.88888888888889,0.45402596160699
S332,51,A,1.2708333333333333,1.2173529411764707,0.2976346597462514,0.7942708333333334,-1.5490196078431373,0.44023116443873184
S333,124,B,0.7416666666666667,0.9455620839733744,0.4843263689562338,0.11641595814257685,-10.89516129032258,0.4022093342773316
S304,100,A,0.65,1.1711666666666667,0.3774214166666666,0.45614035087719296,-1.86,0.3489316151309738
S313,69,C,1.6,0.6798884288014723,0.4861752962851303,0.37684003925417076,-9.202898550724637,0.3179990040706219
S271,62,C,1.0291666666666666,1.0423963133640555,0.4331237361403112,0.7694704049844237,-1.1935483870967742,0.1667251848949252
S357,68,C,0.9166666666666666,1.029330065359477,0.4074646837220727,1.0679611650485437,0.20588235294117646,0.14651475504888817
S342,40,C,0.9333333333333333,1.3182936507936507,0.15918469545225497,1.2727272727272727,1.2,0.0677498838572786
S065,88,A,0.7875,0.7061056998556999,0.22581968147968556,0.875,-0.3068181818181818,0.03725020659508385
S163,78,A,1.05,0.6534188034188034,0.42007378186865363,0.30920245398773005,-7.217948717948718,0.03565701949913062
S069,98,B,0.7041666666666667,0.7866618075801749,0.36121416305658743,0.45308310991957107,-2.0816326530612246,0.0342057788092984
S178,45,A,0.6791666666666667,1.4711904761904764,0.13710088183421518,1.3360655737704918,0.9111111111111111,0.0324592600306171
S379,37,C,1.0375,1.2107078507078506,0.1376360559125038,1.1369863013698631,0.8108108108108109,-0.00035256841827928164
S233,85,B,0.7458333333333333,0.8212231559290384,0.4452932603106602,0.8099547511312217,-0.49411764705882355,-0.06873069241800538
S159,82,A,0.8958333333333334,0.7091608594657375,0.5058012101454701,0.849802371541502,-0.4634146341463415,-0.07316957516233502
S224,110,B,0.45,0.9260606060606061,0.2693612488521579,0.3673469387755102,-1.690909090909091,-0.1041150870254291
S280,116,B,0.5291666666666667,0.6965260673234811,0.42357534394771335,0.14648212226066898,-6.379310344827586,-0.21181509484565078
S035,100,A,0.6,0.5023409090909091,0.2409243238636364,0.6371681415929203,-0.82,-0.31916496494977903
S227,39,A,1.0583333333333333,0.9367256817256818,0.40321576116116215,0.5825688073394495,-4.666666666666667,-0.3556644957504283
S036,54,B,0.5166666666666667,1.2359567901234567,0.29553452693949095,1.24,0.4444444444444444,-0.3828038883452267
S265,80,A,0.5875,0.6756875,0.23211074262152778,0.24394463667820068,-5.4625,-0.38501749660764517
S388,71,B,0.475,0.9298289738430583,0.10180028134377465,0.22309197651663404,-5.591549295774648,-0.3916646269069557
S207,91,C,0.6416666666666667,0.5903846153846155,0.47275324034939425,0.27697841726618705,-4.417582417582418,-0.39961451151231353
S173,39,C,1.55,0.512912087912088,0.42582261602866,0.20217391304347826,-37.64102564102564,-0.4121774184267282
S010,88,B,0.7083333333333334,0.3847537878787879,0.32306695326848023,0.2951388888888889,-4.613636363636363,-0.4464222496622805
S362,70,C,0.37916666666666665,1.0964285714285715,0.08802295918367345,1.1375,0.15714285714285714,-0.45735672007334016
S117,98,B,0.5125,0.5372167715571077,0.23592874563820762,0.037037037037037035,-32.63265306122449,-0.45928489068595263
S226,59,A,0.8333333333333334,0.675668549905838,0.45033210692258857,0.8032128514056225,-0.8305084745762712,-0.47171384088143065
S128,71,A,0.5541666666666667,0.8791079812206573,0.42064724812096366,1.0555555555555556,0.09859154929577464,-0.4721257478006252
S381,32,A,0.8375,1.1453125,0.30653184678819445,0.9757281553398058,-0.15625,-0.5201459480337792
S209,73,A,0.6791666666666667,0.5726712328767124,0.41112714914201126,0.5927272727272728,-1.5342465753424657,-0.5413721058390195
S030,29,A,0.675,1.335632183908046,0.19782996432818073,1.2857142857142858,1.2413793103448276,-0.5817619834041783
S235,38,B,0.7875,0.9972744360902258,0.37181517095527045,0.6136363636363636,-3.1315789473684212,-0.5972044433173201
S102,64,A,0.5458333333333333,0.8531541982323232,0.4740943248719588,0.21163166397415187,-7.625,-0.6514551227817006
S071,72,A,0.7958333333333333,0.16631944444444446,0.15169065875771606,0.5823170731707317,-1.9027777777777777,-0.6517475035187897
S024,77,B,0.5166666666666667,0.7067099567099567,0.5067440774027046,0.5276595744680851,-1.4415584415584415,-0.689521983646587
S270,64,C,0.38333333333333336,0.9428571428571428,0.13374627976190478,1.010989010989011,0.015625,-0.7138159801191954
S104,72,A,0.6458333333333334,0.38767636684303347,0.3406432835765766,0.3333333333333333,-4.305555555555555,-0.7470802368694154
S293,67,A,0.8,0.17448053848405035,0.2480449531508907,0.14339058999253174,-17.119402985074625,-0.7638769827873096
S386,54,B,0.49583333333333335,0.9368827160493828,0.3848652311004421,1.0818181818181818,0.16666666666666666,-0.776869189530766
S127,64,A,0.6583333333333333,0.4959635416666667,0.48126517401801217,0.32510288065843623,-5.125,-0.8259585516968382
S267,89,C,0.3416666666666667,0.6466604244694132,0.23688344079887658,0.11631205673758865,-7.0,-0.8521787898635957
S167,70,A,0.5666666666666667,0.445,0.35701865079365086,0.6044444444444445,-1.2714285714285714,-0.8586152315777744
S369,67,C,0.6083333333333333,0.46709547500592274,0.4527422945852187,0.06919431279620854,-29.313432835820894,-0.8693989888828715
S336,47,A,0.6,0.8017730496453902,0.40876163170866653,1.125,0.3404255319148936,-0.8750313346831196
S165,95,A,0.3125,0.6947368421052632,0.3239196675900277,0.11346444780635401,-6.168421052631579,-0.8787180674984292
S017,67,A,0.575,0.41345060412224593,0.3194992729771793,0.711340206185567,-0.835820895522388,-0.8967891372077141
S254,45,A,0.6708333333333333,0.7272486772486773,0.46614047759021315,1.0522875816993464,0.17777777777777778,-0.9181751919328467
S182,48,C,0.6375,0.8069444444444445,0.6157503858024692,0.7688442211055276,-0.9583333333333334,-0.9275362719269761
S334,72,C,0.6166666666666667,0.1221064814814815,0.13285717539008918,0.06690777576853527,-28.666666666666668,-0.9408836112654329
S299,136,A,0.25833333333333336,0.3900857843137255,0.21548955554954818,0.0549645390070922,-7.838235294117647,-0.9522586747859573
S383,34,C,0.6125,1.0034313725490198,0.37860750672818144,1.0208333333333333,0.08823529411764706,-0.9577680189610945
S090,43,C,0.6041666666666666,0.8345238095238096,0.46572305278700626,0.5918367346938775,-2.3255813953488373,-0.9607609531439436
S153,56,B,0.7291666666666666,0.29363095238095244,0.3523699511054422,0.06576475009394964,-44.392857142857146,-0.9781713082516714
S121,54,A,0.5708333333333333,0.5486111111111112,0.3632658179012344,0.7445652173913043,-0.8703703703703703,-1.010998859101478
S022,66,A,0.5833333333333334,0.3188888888888889,0.3792789001122335,0.445859872611465,-2.6363636363636362,-1.0282206195655876
S042,56,A,0.575,0.5147534013605443,0.4107186223766718,0.45695364238410596,-2.9285714285714284,-1.0306371191242618
S394,66,A,0.6,0.1878787878787879,0.21265610651974282,0.16783216783216784,-10.818181818181818,-1.033200357749169
S199,48,B,0.5416666666666666,0.7196949404761904,0.41235205906689937,0.08452535760728218,-29.333333333333332,-1.0405938062626727
S228,57,C,0.6291666666666667,0.3431495405179616,0.3734206190427335,0.0391597510373444,-65.0,-1.0713179310068914
S089,43,A,0.5875,0.8023532668881506,0.5491380905165384,0.5529411764705883,-2.6511627906976742,-1.0768067735559843
S106,39,A,0.32083333333333336,1.2572649572649575,0.24146431441303237,1.2622950819672132,0.41025641025641024,-1.1321643555126744
S105,55,B,0.5,0.48060606060606054,0.32330538408200726,0.6779661016949152,-1.0363636363636364,-1.169022493225208
S021,62,A,0.3333333333333333,0.842741935483871,0.4485001878829923,0.24691358024691357,-3.935483870967742,-1.1701528076724907
S279,49,C,0.37083333333333335,0.9448088759313249,0.4527315125689315,0.31338028169014087,-3.979591836734694,-1.1995211927699752
S331,74,C,0.2916666666666667,0.6373873873873874,0.24876734842951057,0.3181818181818182,-2.027027027027027,-1.211010211735409
S170,41,A,0.5625,0.7487262872628727,0.5380396001791997,0.3994082840236686,-4.951219512195122,-1.2139264396235088
S217,43,A,0.5791666666666667,0.5609449981543004,0.42324759057520006,0.7202072538860104,-1.255813953488372,-1.249291505049332
S053,31,A,0.32083333333333336,1.3059139784946237,0.1408521216325587,1.2833333333333334,0.5483870967741935,-1.2574529890089663
S077,58,B,0.5333333333333333,0.2611494252873563,0.30640174395560843,0.48120300751879697,-2.3793103448275863,-1.2607997358254834
S232,40,B,0.49583333333333335,0.8105158730158729,0.4802201672335601,0.8623188405797102,-0.475,-1.2641935489399632
S211,62,A,0.24166666666666667,0.9059139784946236,0.1743915481558562,0.18181818181818182,-4.209677419354839,-1.265873142857483
S020,89,C,0.3,0.3806179775280899,0.3125090126106412,0.39344262295081966,-1.247191011235955,-1.2921145774637177
S004,103,B,0.26666666666666666,0.32682385575589457,0.30325488579948257,0.08976157082748948,-6.300970873786408,-1.3121301422458265
S295,83,A,0.23333333333333334,0.6206024096385542,0.2202749383074467,0.045454545454545456,-14.168674698795181,-1.3200242458631035
S193,30,B,0.42083333333333334,1.1003174603174601,0.32574630889392797,1.2023809523809523,0.5666666666666667,-1.3292749794249503
S359,48,C,0.35833333333333334,0.8359953703703704,0.40655991458762,0.4648648648648649,-2.0625,-1.3338389143485148
S061,67,C,0.35,0.573270013568521,0.4921044708614325,0.06287425149700598,-18.686567164179106,-1.341783425454803
S375,61,B,0.4666666666666667,0.21129326047358835,0.22961542927860226,0.2248995983935743,-6.327868852459017,-1.3494150561622953
S187,84,A,0.30833333333333335,0.37323747680890534,0.3455854771351392,0.4625,-1.0238095238095237,-1.349711294206744
S301,40,C,0.37083333333333335,0.9441964285714285,0.368786790497449,1.0595238095238095,0.125,-1.3502415559936014
S029,90,B,0.2833333333333333,0.3397367724867725,0.3117762107881218,0.06967213114754098,-10.088888888888889,-1.3785467347572455
S248,85,B,0.2875,0.4455882352941177,0.4298212226066899,0.13346228239845262,-5.270588235294118,-1.3877423664737243
S347,69,C,0.3416666666666667,0.5603864734299517,0.5543244883194473,0.7663551401869159,-0.36231884057971014,-1.391488926931982
S214,93,B,0.21666666666666667,0.5053763440860215,0.22308937449416125,0.09576427255985268,-5.279569892473118,-1.3971820381127045
S011,43,C,0.3541666666666667,0.8899501661129567,0.40361073553272037,1.0119047619047619,0.023255813953488372,-1.3997319390561547
S312,61,A,0.32083333333333336,0.6567135050741608,0.4383860280652618,0.5789473684210527,-0.9180327868852459,-1.4041651717543466
S397,59,B,0.21666666666666667,0.8728813559322034,0.10672220626256822,0.8666666666666667,-0.13559322033898305,-1.4213057189235507
S326,62,C,0.3416666666666667,0.5230030721966205,0.39067495858905493,0.06737880032867707,-18.306451612903224,-1.428606280019966
S242,65,A,0.32916666666666666,0.5333760683760683,0.4231240485060998,0.13122923588039867,-8.046153846153846,-1.4286210121274805
S180,59,B,0.21666666666666667,0.864406779661017,0.10873312266590061,0.8524590163934426,-0.15254237288135594,-1.4308429945508592
S019,58,B,0.45416666666666666,0.2675862068965517,0.3377646716871449,0.3935018050541516,-2.896551724137931,-1.4337374671526464
